name,img,captions,image_text
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2931).jpg,"a quote that says, ' art from life is not what it is, but it is not what"," Apart from ""life is short"" What other lines do you use before making bad decisions. Ssarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3533).jpg,"a man with a beard and a beard that says, i guess vampires really do", guess vampires really do turn into bats.. Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (394).jpg,a mememe memememememememememememememememe, Warning Raise volume above recommended level? Listening at high volume for periods may damage your Cancel OK Stop acting like my Dad!
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1265).jpg,a little girl sleeping with her teddy bear, If you see someone in your dreams That person wants to see you in real!
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1956).jpg,a woman with a white shirt and a pink background, When you save money to travel but your money travels first. FB /SarcasmLol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1697).jpg,a hand reaching out to another hand, Nokia logo after Corona Virus ISarcasmlol NOKIA
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2384).jpg,"a woman driving a car with the capt that reads, i ' m going to sleep 4 am", FB/Sarcasmlo Me going to sleep at 4 am My mom waking up at 4 am
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (344).jpg,a british flag with the words ' no one british '," 2d Name something that feels British but isn't 8,385 15.6K Replying to @NoContextBrits The British Museum 08 Nov 22 Twitter for Android"
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (452).jpg,me ses de me my brain me se de me my brain me me me me me me me, Me Sees dope meme My #Releases dope-a-meme
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (78).jpg,"a child with a finger up and a capt that says, ` ` ` ` ` ` ` `", If | show you a picture on my phone Don't swipe left. Don't swipe right. Just look!
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (288).jpg,"a text message with the capt that says, ' i ' m '", TODAY news... 5.11 PM tell me bad one Ist 5.12 PM u failed in 2 subjects 5.13 PM and whats the good news did ur crush accepted ur proposal 5.14 PM 5.15 PM i failed in 3 subjects brooo 5.15 PM Peace 5.16 PM
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (750).jpg,dating mememe dating meme dating memes dating memes dating memes dating memes dating," Babe, a small penis isn'tsuch a big deal. 1 kinda wish you didn't have one at all."
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (95).jpg,a cartoon of a man in a hat and a suit, When you make a paper airplane and it actually flies Kopitan
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2559).jpg,this is the longest road in the world that someone has to walk on," world that someone can walk 4,736h 5825 Boacag Falls Angol Ocenn My dad: to go to school"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1386).jpg,a screenshot of a text message from person," Sir Michael @Michael1979 HUMAN BODY: 1. Merge the 2 ears into a double ear on one side of the head and Listener"" you'd 2. Shrink size of the Listener 3.Add a 2nd Listener on the other side of the head for symmetry 21.26 06 Nov 19 TweetDeck say by"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (179).jpg,a green battery with the words i need a phone with 50 % battery, A Phone With 500% Battery
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (238).jpg,a man and woman are looking at a cell phone, MyDadnaol
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (225).jpg,a cat is taking a selfie self self self self self self self self self self self self self, Nothing Vuo 1 Am Trying Human Filter @BC
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3747).jpg,please or bec me because my rude will rude you and i ' ll make you cry, Please don't be rude to me your rude and I'Il make you cry Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3472).jpg,a door mat with a smiley face on it, FB/Sarcasmlol DONT KNOCK UNLESS
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (447).jpg,a man is holding a towel and a woman is holding a towel, Women ~~Feet ~~Face ~Hair Men Did wipe my b*tt with this side? ~~Body
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4280).jpg,red vitamin cash, need Vitamin ash C $ $ Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2758).jpg,"a quote that says, ' first question when we are in the house, we are in the house", First question when reach home Where is mom? Even though I didn't need her FB/SarcasmLol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1864).jpg,me 2m reading all 9cms of two stars arng an internet memes, Me at 2 am reading all 49 comments of two strangers arguing on the internet FB /SarcasmLol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3242).jpg,"a quote with the words nobody is just a person in you let the fridge, i ' ll '"," Nobody is busier than a person not interested in you. Let me close the fridge, I'Il call you back""_ Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1137).jpg,"a tweet with the capt that reads, ` ` ` '", Chase @mrmakethings When my girlfriend makes me angry; | look at her through the fork and pretend she's in jail. It heals me spiritually
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (58).jpg,a man in a lab coat with his arms crossed and a dna dna behind him, When you say H2O istead of water Siense gflip com
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (40).jpg,a cartoon face with the words ` ' s on it, YOUR ANTIVIRUS HAS BEENEXPIRED CCDETAILS FROM TELEGRAM GROUP Kalm POLICECAR [SCOMING TOYOURHOUSE Panik Panik
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (682).jpg,"a man is pointing at a crane with the words, ' 1st attempt '", Ist Attempt 2nd Attempt 3rd Attempt Ath Attempt
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3154).jpg,a quote that says you may be broken but someone will be broken, You may be broken now but someone out there will come into your life and you will be broken pro max. Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (892).jpg,a woman talking to a man in a hospital room, year old beardless friend at the airport be like Have u seen a child?
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (483).jpg,a woman wearing a pink coat with a large puffed collar, susemojt: This girl wearing a Golgi Apparatus
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2946).jpg,"a woman texting on her phone with the capt that reads, ' can you see???", can / tell you a secret..??? Received Of course you can love you Recelved Yeah Sarcasm Received also love you Behind the scenes..
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3020).jpg,a picture of a group of people with the capt of a person, dad couldn't find Google Chrome so / did this Chrome My
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (445).jpg,two men in suits and ties are talking to each other men, iPhone 8 iphone 8 is now launched! Two minutes of silence for those who have already sold their one kidney
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2146).jpg,a girl sitting at a desk with her head in her hands, Nothing hurts more than being separated from the person You were planning to copy from
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (177).jpg,a man in a red jacket and helmet is jumping, @SARCASMI Did you know? You can skydive without parachute but only for once
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2789).jpg,a man in a hard hat and yellow vests is talking to another man in a hard hat, Why isn't Mike here today? He's in the Hospital Sarcasm But saw him yesterday dancing with a girl.
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (326).jpg,a picture of a desert with a picture of a desert, useless and inefficient city planning opponent is agulf country
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (258).jpg,a cartoon of the british and british people, Youre actually happy she died?! Ay Yes Yessir
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (502).jpg,a woman in a hoodie is holding a cell phone, Huawei
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4504).jpg,two messages from the same texting conversation, Savage! 11.56 am. that you beautiful? 11.57 a No At least you are surrounded by honest people FB/SarcasmLol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1103).jpg,a woman and a child are walking down the street, Mother & Father Daughter And Son
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (787).jpg,a picture of a cat and a crocodile with caption, English Insults Spanish Insults saying anything in Russian Casually ordering food in German
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (406).jpg,"a crowd of people at a concert with the words, this is not over, this is gas"," This is not any concert, This is grass"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2058).jpg,a diagram showing the number of words in each language, speaking ability 100% Chat Voice call 75% 50% Video call 25% Talking in real My
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1829).jpg,a cartoon character sitting on a bed with a blanket over his head, 7 year old me waiting for my mom to choose my outfit after [Sarcasmlol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3802).jpg,hte going walari dont understand ht $ $ $ $ $ $ $ $ $ $, HATE going to Walmart. | don't understand how $3 $7 equals Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1241).jpg,a mountain with two eyes and the words you are not," When your mom says ""Take your brother with f /Sarcasmlol You Younger bro you"""
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2071).jpg,a screenshot of a text message with two em emotics, 2 Doctors chatting with each other
